UIDNFTN;NAME;LABEL;ADDRESS;X;Y;BUI_NO_BTI;CAD_NO;STREET_BTI;HOUSE_BTI;HADD_BTI;VEDOM;PHONE;OKRUG;RAYON;TYPE;LENGTH_KM;LEN_SVET;MODDATE;MODUSER;LAT;LON
16443;Территория МГУ;Лыжная трасса;Зеленая полоса между улицей Косыгина и Университетским проспектом;37,536328;55,709323;;;;;;Федеральная;(499) 144-39-22;ЗАО;Раменки;Лыжные трассы и базы (сезонные);8;2;0;;55.709323;37.536328
12344;"Природный заказник ""Воробьевы горы""";Лыжная трасса;Воробьёвы горы, улица Косыгина,   дом 28;37,544698;55,708332;;;;;;Департамент физической культуры и спорта города Москвы;(499) 726- 15 -84;ЗАО;Раменки;Лыжные трассы и базы (сезонные);4;1;0;;55.708332;37.544698
13510;Природный заказник Долина реки Сетунь между Аминьевским шоссе и улица Нежинской;Лыжная трасса;Улица Кременчугская,     дом 36;37,462404;55,71389;;;;;;Департамент природопользования и охраны окружающей среды города Москвы;(499) 726- 15 -84;ЗАО;Фили-Давыдково;Лыжные трассы и базы (сезонные);2;2;0;;55.71389;37.462404
12844;Подходы к Олимпийской деревне-80;Лыжная трасса;Мичуринский проспект , дом 2 Олимпийская деревня-80;37,47359;55,677847;;;;;;Департамент жилищно-коммунального хозяйства и благоустройства города Москвы;(499) 144-39-22;ЗАО;Тропарево-Никулино;Лыжные трассы и базы (сезонные);8;1;0;;55.677847;37.47359
13335;"Ландшафтный заказник ""Тропаревский"", между улицей Академика Анохина, МКАД, Востряковским кладбищем";Лыжная трасса;Улица Академика Анохина, дом 22;37,467821;55,662237;;;;;;Департамент природопользования и охраны окружающей среды города Москвы;(499) 726- 15 -84;ЗАО;Тропарево-Никулино;Лыжные трассы и базы (сезонные);2,5;2;0;;55.662237;37.467821
13406;Зона отдыха (Мещерское), между улицей Воскресенской и улицей Прудовой;Лыжная трасса;Улица Варваринская, дом 2, строение 8;37,414411;55,665559;;;;;;Префектура;(499) 144-39-22;ЗАО;Солнцево;Лыжные трассы и базы (сезонные);5;1;0;;55.665559;37.414411
10360;Ульяновский лесопарк, лесной массив близ деревни Орлово и Центра всесезонных видов спорта;Лыжная трасса;Проектируемый проезд № 635, дом 9;37,376575;55,627403;;;;;;Департамент природопользования и охраны окружающей среды города Москвы;(499) 144-39-22;ЗАО;Ново-Переделкино;Лыжные трассы и базы (сезонные);15;0;0;;55.627403;37.376575
16640;"Парк ""50 лет Октября"", улица Удальцова, д. 22";Лыжная трасса;Парк 50-летия октября,        улица Удальцова, напротив дома 49;37,505391;55,678452;;;;;;Департамент жилищно-коммунального хозяйства и благоустройства города Москвы;(985) 411-46-45;ЗАО;Проспект Вернадского;Лыжные трассы и базы (сезонные);10;2;0;;55.678452;37.505391
10361;Улица Барвихинская, д. 10;Лыжная трасса;Улица Барвихинская,       дом 10;37,385735;55,717419;;;;;;Префектура;(499) 144-39-22;ЗАО;Можайский,;Лыжные трассы и базы (сезонные);2,5;1;0;;55.717419;37.385735
18253;Парк Победы на Поклонной горе;Лыжная трасса;Улица Братьев Фонченко, дом 7;37,511597;55,729196;;;;;;Префектура;(499) 148-83-00;ЗАО;Дорогомилово;Лыжные трассы и базы (сезонные);2;0;0;;55.729196;37.511597
16423;лыжный модуль, улица Поляны, напротив вл. 4-6;Лыжная трасса;Улица Поляны, напротив     владение 4-6;37,557478;55,568099;;;;;;Департамент природопользования и охраны окружающей среды города Москвы;(495) 423-23-23;ЮЗАО;Северное Бутово;Лыжные трассы и базы (сезонные);7,5;0;0;;55.568099;37.557478
17435;"Улица Южнобутовская, д. 96 ФОК ""Изумрудный""";Лыжная трасса;"ФОК ""Изумрудный""";37,511441;55,531715;;;;;;Префектура;(499) 724-52-12;ЮЗАО;Южное Бутово;Лыжные трассы и базы (сезонные);3;3;0;;55.531715;37.511441
16493;Московский городской Дворец детского (юношеского) творчества;Лыжная трасса;Улица Косыгина ,      дом 17;37,554457;55,703078;;;;;;Департамент образования города Москвы;(499) 137-81-50;ЮЗАО;Гагаринский;Лыжные трассы и базы (сезонные);3;3;0;;55.703078;37.554457
10353;Битцевский лесопарк;Лыжная трасса;Пересечение булвара Дмитрия Донского и улицы Академика Глушко;37,569606;55,561902;;;;;;Департамент природопользования и охраны окружающей среды города Москвы;(499) 744-01-90;ЮЗАО;Северное Бутово;Лыжные трассы и базы (сезонные);3;0;0;;55.561902;37.569606
10349;Битцевский лесопарк;Лыжная трасса;Зона отдыха «Битца» 36 км. МКАД;37,627641;55,601563;;;;;;Департамент природопользования и охраны окружающей среды города Москвы;(926) 532-71-07;ЮЗАО;Северное Бутово;Лыжные трассы и базы (сезонные);25;0;0;;55.601563;37.627641
16385;Ландшафтный заказник «Теплый Стан»;Лыжная трасса;Улица Академика Виноградова, владение 12 –    улица Островитянова, владение 10;37,490372;55,634553;;;;;;Департамент природопользования и охраны окружающей среды города Москвы;(495) 438-63-72;ЮЗАО;Тёплый Стан;Лыжные трассы и базы (сезонные);3,6;0;0;;55.634553;37.490372
10350;Битцевский лесопарк;Лыжная трасса;Улица Инессы Арманд, владение 3-7;37,549536;55,592973;;;;;;Департамент природопользования и охраны окружающей среды города Москвы;(495) 382-61-47;ЮЗАО;Ясенево;Лыжные трассы и базы (сезонные);6,2;0;0;;55.592973;37.549536
16764;Парк у прудов «Радуга»;Лыжная трасса;Улица Вешняковская, владение 16;37,825469;55,730363;;;;;;Департамент жилищно-коммунального хозяйства и благоустройства города Москвы;(985) 411-46-45;ВАО;Вешняки;Лыжные трассы и базы (сезонные);2;2;0;;55.730363;37.825469
16960;Поселок Акулово;Лыжная трасса;поселок Акулово,  дом 43;37,791818;56,003851;;;;;;Префектура;(499) 780-67-69;ВАО;Восточный;Лыжные трассы и базы (сезонные);5;0;0;;56.003851;37.791818
10355;Битцевский лесопарк;Лыжная трасса;Севастопольский проспект,    напротив владения, 66;37,543172;55,626244;;;;;;Департамент природопользования и охраны окружающей среды города Москвы;(499) 724-52-12;ЮЗАО;Ясенево;Лыжные трассы и базы (сезонные);3;0;0;;55.626244;37.543172
10351;Битцевский лесопарк;Лыжная трасса;Улица Красного маяка , владение 28 – пересечение Севастопольского проспекта, и улицы Миклухо-Маклая, владение 65;37,570676;55,608035;;;;;;Департамент природопользования и охраны окружающей среды города Москвы;(495) 426-00-22;ЮЗАО;Ясенево;Лыжные трассы и базы (сезонные);6;0;0;;55.608035;37.570676
10352;Битцевский лесопарк;Лыжная трасса;Новоясеневский тупик, владение 1;37,558048;55,597557;;;;;;Департамент природопользования и охраны окружающей среды города Москвы;(499) 724-52-12;ЮЗАО;Ясенево;Лыжные трассы и базы (сезонные);5;0;0;;55.597557;37.558048
10383;Городской округ Троицк Микрорайон Б, за ГСК №8;Лыжная трасса;Городской округ Троицк Микрорайон Б,      за ГСК №8;37,292075;55,489858;;;;;;Федеральная;(925) 004-07-45;ТиНАО;Городской округ Троицк;Лыжные трассы и базы (сезонные);10;2,5;0;;55.489858;37.292075
16961;"Поселение Вороново, оздоровительный комплекс ""Солнечный городок"" ЦБРФ";Лыжная трасса;"Поселение Вороново, оздоровительный комплекс ""Солнечный городок"" ЦБРФ";37,134524;55,31748;;;;;;Территория поселения;(985) 289-65-30;ТиНАО;поселение Вороновское;Лыжные трассы и базы (сезонные);8,7;0;0;;55.31748;37.134524
16963;Поселение Щапово, лесопарк Щапово;Лыжная трасса;Поселение Щапово, лесопарк Щапово;37,390301;55,419208;;;;;;Территория поселения;(916) 449-62-20;ТиНАО;поселение Щаповское;Лыжные трассы и базы (сезонные);2;0;0;;55.419208;37.390301
11118;город Московский, мкр. Юго-Западный. Лесопарковая зона;Лыжная трасса;Микрорайон задный Лесопарковая зона;37,342949;55,592673;;;;;;Территория поселения;(495) 840-08-69;ТиНАО;город Московский;Лыжные трассы и базы (сезонные);10;0;0;;55.592673;37.342949
16962;Поселение Красная Пахра, село Варварино, рядом с церковью Рождества Христова;Лыжная трасса;Поселение Красная Пахра,              село Варварино,     рядом с церковью Рождества Христова;37,253558;55,425193;;;;;;Территория поселения;(926) 996-58-46;ТиНАО;поселение Краснопахорское;Лыжные трассы и базы (сезонные);3,7;0;0;;55.425193;37.253558
18418;"Природно исторический парк ""Москворецкий"" (велодорога)";Лыжная трасса;Улица Крылатские холмы , дом 24;37,417279;55,762706;;;;;;частная;(495) 662-43-92;ЗАО;Крылатское;Лыжные трассы и базы (сезонные);3;0;0;;55.762706;37.417279
18419;Улица Лобачевского, д. 116;Лыжная трасса;Улица Лобачевского,      дом 117;37,47991;55,678524;;;;;;Префектура;(903) 710-21-05;ЗАО;Очаково-Матвеевское;Лыжные трассы и базы (сезонные);3;0;0;;55.678524;37.47991
18420;Московский городской Дворец детского (юношеского) творчества;Лыжная трасса;Улица Косыгина,   дом 17;37,55377;55,703423;;;;;;Департамент образования города Москвы;(499) 137-81-50;ЮЗАО;Гагаринский;Лыжные трассы и базы (сезонные);3;0;0;;55.703423;37.55377
18421;Поселение Красная Пахра, село Варварино, рядом с церковью Рождества Христова;Лыжная трасса;Поселение Красная Пахра,               село Варварино,     рядом с церковью Рождества Христова;37,254459;55,424539;;;;;;Территория поселения;(926) 996-58-46;ТиНАО;поселение Краснопахорское;Лыжные трассы и базы (сезонные);2,5;0;0;;55.424539;37.254459
