UIDNFTN;NAME;LABEL;ADDRESS;X;Y;BUI_NO_BTI;CAD_NO;STREET_BTI;HOUSE_BTI;HADD_BTI;OKRUG;RAYON;ZAKAZ;AREA_SQM;X;Y;LAT;LON
46;"НП ""Лосиный остров"" квартал 13/1";"НП ""Лосиный остров"" квартал 13/1";"НП ""Лосиный остров"" квартал 13/1";4212201.06199999990;7538752.41610000000;0;;;;;ВАО;Метрогородок;Департамент природопользования и охраны окружающей среды города Москвы;0.00000000000;4212201.06199999990;7538752.41610000000;55.90109906021578;37.838845937790786
47;ул.Лосиноостровская, кв.31;ул.Лосиноостровская, кв.31;ул.Лосиноостровская, кв.31;4199014.60010000040;7523800.57980000040;0;;;;;ВАО;Метрогородок;Департамент природопользования и охраны окружающей среды города Москвы;0.00000000000;4199014.60010000040;7523800.57980000040;55.82572606283221;37.72038993510849
48;Кусковская, д. 47;Кусковская, д. 47;Кусковская, д. 47;4207271.50000000000;7507544.26169999970;0;;;;;ВАО;Новогиреево;Префектура;800.00000000000;4207271.50000000000;7507544.26169999970;55.74361106774947;37.79456292890465
49;ул.Суздальская, вл.44;ул.Суздальская, вл.44;ул.Суздальская, вл.44;4216684.78739999980;7508124.12110000010;0;;;;;ВАО;Новокосино;Департамент жилищно-коммунального хозяйства и благоустройства города Москвы;800.00000000000;4216684.78739999980;7508124.12110000010;55.74654306920386;37.87912392835693
50;ш.Энтузиастов, кв-л 38 (пересечение ш.Энтузиастов  и ул.2-ая Владимирская);ш.Энтузиастов, кв-л 38 (пересечение ш.Энтузиастов  и ул.2-ая Владимирская);ш.Энтузиастов, кв-л 38 (пересечение ш.Энтузиастов  и ул.2-ая Владимирская);4205474.69240000010;7511705.49870000030;0;;;;;ВАО;Перово;Департамент природопользования и охраны окружающей среды города Москвы;0.00000000000;4205474.69240000010;7511705.49870000030;55.764647067070385;37.77842193160762
51;наб. Шитова, вл.8;наб. Шитова, вл.8;наб. Шитова, вл.8;4200164.75279999990;7518918.20380000030;0;;;;;ВАО;Преображенское;Департамент жилищно-коммунального хозяйства и благоустройства города Москвы;800.00000000000;4200164.75279999990;7518918.20380000030;55.80108206303622;37.7307219326033
52;Щелковское шоссе,д.2;Щелковское шоссе,д.2;Щелковское шоссе,д.2;4203570.46150000020;7519399.09289999960;0;;;;;ВАО;Северное Измайлово;Префектура;1800.00000000000;4203570.46150000020;7519399.09289999960;55.80351006399731;37.761315934387994
53;ул.Уткина,41Б;ул.Уткина,41Б;ул.Уткина,41Б;4201626.93410000020;7511269.21100000010;0;;;;;ВАО;Соколиная Гора;Префектура;800.00000000000;4201626.93410000020;7511269.21100000010;55.762442065892344;37.74385693070274
54;"ПКиО ""Сокольники""";"ПКиО ""Сокольники""";"ПКиО ""Сокольники""";4194127.11780000010;7517657.69620000010;0;;;;;ВАО;Сокольники;Департамент культуры города Москвы;0.00000000000;4194127.11780000010;7517657.69620000010;55.794717062790184;37.67648493459895
55;ул.Окская,д.16;ул.Окская,д.16;ул.Окская,д.16;4203076.64759999980;7501191.01410000030;0;;;;;ЮВАО;Кузьминки;Префектура;800.00000000000;4203076.64759999980;7501191.01410000030;55.711472068839726;37.756879928649184
56;ул.Совхозная, д.4,к.4;ул.Совхозная, д.4,к.4;ул.Совхозная, д.4,к.4;4201612.90739999990;7492409.77089999990;0;;;;;ЮВАО;Люблино;Департамент жилищно-коммунального хозяйства и благоустройства города Москвы;800.00000000000;4201612.90739999990;7492409.77089999990;55.667007071075425;37.743730926712786
57;Парк Артема Боровика;Парк Артема Боровика;Парк Артема Боровика;4202990.04090000040;7491324.28809999950;0;;;;;ЮВАО;Марьино;Префектура;1800.00000000000;4202990.04090000040;7491324.28809999950;55.66150707185308;37.756101927426016
58;Зеленая зона на пересечении  проектируемых проездов 6391 и 6392;Зеленая зона на пересечении  проектируемых проездов 6391 и 6392;Зеленая зона на пересечении  проектируемых проездов 6391 и 6392;4221902.44290000010;7496401.12100000030;0;;;;;ЮВАО;Некрасовка;Префектура;1800.00000000000;4221902.44290000010;7496401.12100000030;55.68722407389828;37.92599492518614
59;Перовское шоссе, 27;Перовское шоссе, 27;Перовское шоссе, 27;4203040.46889999970;7506243.69259999970;0;;;;;ЮВАО;Нижегородский;Префектура;1800.00000000000;4203040.46889999970;7506243.69259999970;55.73703406800269;37.756554929857494
60;Парк Шкулева;Парк Шкулева;Парк Шкулева;4201910.35309999990;7497104.56329999960;0;;;;;ЮВАО;Текстильщики;Префектура;800.00000000000;4201910.35309999990;7497104.56329999960;55.69078606976853;37.746402926897844
1;Ст. Басманная, д. 15- Сад им. Баумана;Ст. Басманная, д. 15- Сад им. Баумана;Ст. Басманная, д. 15- Сад им. Баумана;4192222.55250000020;7512405.58820000010;0;;;;;ЦАО;Басманный;Департамент культуры города Москвы;0.00000000000;4192222.55250000020;7512405.58820000010;55.76818506386699;37.659375933413024
